Index, Girth (in), Height (ft), Volume(ft^3)
1,  17.9,     80,   58.3
2,  11.0,     66,   15.6
3,  11.7,     69,   21.3
4,   8.3,     70,   10.3
5,   8.6,     65,   10.3
6,  12.9,     85,   33.8
7,  11.4,     76,   21.0
8,  16.0,     72,   38.3
9,  11.4,     76,   21.4
10,  17.3,     81,   55.4
11,  13.3,     86,   27.4
12,  16.3,     77,   42.6
13,  11.1,     80,   22.6
14,  10.7,     81,   18.8
15,  18.0,     80,   51.0
16,  10.5,     72,   16.4
17,  20.6,     87,   77.0
18,  11.0,     75,   18.2
19,  12.0,     75,   19.1
20,  14.0,     78,   34.5
21,  18.0,     80,   51.5
22,   8.8,     63,   10.2
23,  14.2,     80,   31.7
24,  11.2,     75,   19.9
25,  17.5,     82,   55.7
26,  13.7,     71,   25.7
27,  11.3,     79,   24.2
28,  13.8,     64,   24.9
29,  12.9,     74,   22.2
30,  10.8,     83,   19.7
31,  14.5,     74,   36.3
